author_id;username;name;description;tweets_count;Type;Cate_1;Cate_2;Cate_3;created_at;geo;id;lang;like_count;quote_count;reply_count;retweet_count;source;tweet
39159473;Hannahgadsby;Hannah Gadsby;I am the sleepy time tea bear 🐻 #actuallyautistic https://t.co/F1Gt0CeRyO. Douglas now streaming on Netflix. Tour updates by HGHQ.;4400;Paciente;TEA;nan;nan;2022-04-11 20:22:11+00:00; ;1513613404153520136;en;89;0;2;7;Twitter Web App;Boston folk, I hear some great seats are still available at your fancy pants Emerson Colonial Theatre for Friday night's show... https://t.co/EHqBIyDQF8
39159473;Hannahgadsby;Hannah Gadsby;I am the sleepy time tea bear 🐻 #actuallyautistic https://t.co/F1Gt0CeRyO. Douglas now streaming on Netflix. Tour updates by HGHQ.;4400;Paciente;TEA;nan;nan;2022-04-11 20:21:39+00:00; ;1513613270548201483;en;650;6;37;13;Twitter Web App;My Body of Work tour ‘kicks’ off in North America this weekend with two shows in Boston…Wish me good ‘Break a leg’ luck as I limp bravely across the US and Canada for much of this summer… https://t.co/5V6Qo6FnaT
39159473;Hannahgadsby;Hannah Gadsby;I am the sleepy time tea bear 🐻 #actuallyautistic https://t.co/F1Gt0CeRyO. Douglas now streaming on Netflix. Tour updates by HGHQ.;4400;Paciente;TEA;nan;nan;2022-04-07 21:38:30+00:00; ;1512183058039984131;en;1153;3;36;31;Twitter for iPhone;"I was at a friend’s house when we heard the news…I celebrated with a glass of rosé (yes way) and the Dalai Lama peeking over my shoulder. Good way to keep a little perspective. 

#TenStepsToNanette is a NYTimes Bestseller…Oofty…and many thanks to y’all… https://t.co/0JJsJqrBIG"
39159473;Hannahgadsby;Hannah Gadsby;I am the sleepy time tea bear 🐻 #actuallyautistic https://t.co/F1Gt0CeRyO. Douglas now streaming on Netflix. Tour updates by HGHQ.;4400;Paciente;TEA;nan;nan;2022-04-06 22:12:13+00:00; ;1511829154639061002;en;187;3;5;12;Twitter Web App;Hey SYDNEY…I'm pretty chuffed to announce that my Body of Work tour will be coming to the Sydney Opera House for two nights this September... Head to my website for the details and to sign up for the pre-sale…https://t.co/tcK7IR6a66 https://t.co/1lBRMuK7C9
39159473;Hannahgadsby;Hannah Gadsby;I am the sleepy time tea bear 🐻 #actuallyautistic https://t.co/F1Gt0CeRyO. Douglas now streaming on Netflix. Tour updates by HGHQ.;4400;Paciente;TEA;nan;nan;2022-04-02 20:51:33+00:00; ;1510359303944912901;en;760;4;16;101;Twitter for iPhone;"It’s World Autism Awareness Day…Fact. 

Read a little bit here from #TenStepsToNanette about my diagnosis…Choice. 

Take care, and touch a dog or two 🐶🐶 if you want and they want…Consent. 

#WorldAutismAwarenessDay #LifeOnTheAutismSpectrum https://t.co/onzjfGRJo4"
39159473;Hannahgadsby;Hannah Gadsby;I am the sleepy time tea bear 🐻 #actuallyautistic https://t.co/F1Gt0CeRyO. Douglas now streaming on Netflix. Tour updates by HGHQ.;4400;Paciente;TEA;nan;nan;2022-03-30 14:56:10+00:00; ;1509182705795170304;en;607;20;36;58;Twitter for iPhone;"I would give any money for Stephen Colbert to interview my mother. We know that would never happen so this is the next best thing…?#TenStepsToNanette on @ColbertLateShow last night… 
https://t.co/cQn3AdTTAC"
39159473;Hannahgadsby;Hannah Gadsby;I am the sleepy time tea bear 🐻 #actuallyautistic https://t.co/F1Gt0CeRyO. Douglas now streaming on Netflix. Tour updates by HGHQ.;4400;Paciente;TEA;nan;nan;2022-03-30 13:28:11+00:00; ;1509160563615711243;en;1;0;0;0;Twitter for iPhone;@countdoowop1 I called my dog Ronnie Barker
39159473;Hannahgadsby;Hannah Gadsby;I am the sleepy time tea bear 🐻 #actuallyautistic https://t.co/F1Gt0CeRyO. Douglas now streaming on Netflix. Tour updates by HGHQ.;4400;Paciente;TEA;nan;nan;2022-03-30 01:38:41+00:00; ;1508982012295622659;en;1216;5;45;61;Twitter for iPhone;My book and I are on @colbertlateshow tonight. This is my first book (well technically second…you can read all about that in #TenStepsToNanette… if that is your jam). I had no idea what to expect today on “pub day.” You’ve all made it pretty splendid. Thank you and G’Night! https://t.co/Kr7EtWEMug
39159473;Hannahgadsby;Hannah Gadsby;I am the sleepy time tea bear 🐻 #actuallyautistic https://t.co/F1Gt0CeRyO. Douglas now streaming on Netflix. Tour updates by HGHQ.;4400;Paciente;TEA;nan;nan;2022-03-29 19:26:41+00:00; ;1508888395463811076;en;387;3;10;26;Twitter for iPhone;"#TenStepsToNanette is on shelves…!!
Doug’s just received his copy. I’m awaiting his review… 
https://t.co/2cyPq0YYzc https://t.co/pb9CLNanNM"
39159473;Hannahgadsby;Hannah Gadsby;I am the sleepy time tea bear 🐻 #actuallyautistic https://t.co/F1Gt0CeRyO. Douglas now streaming on Netflix. Tour updates by HGHQ.;4400;Paciente;TEA;nan;nan;2022-03-29 01:47:46+00:00; ;1508621909277265921;en;436;6;14;30;Twitter for iPhone;Hey ‘Straya... What’s tomorrow like? What’s that? My book is already on sale? You are so far ahead of the game… cool story #TenStepsToNanette https://t.co/YDTuhvTbTc
